"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Sex","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","an","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Carbohydrates","Total carbohydrates","Glucides totaux",,"Adultes","Adultes","18","999","18–99","y","≥ 18 ans","1","0","Hommes",,,,,"NA",,"NA",,,,"NA",,"45–60","E%","2009","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","10.2903/j.efsa.2010.1462","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA","The information ""ND"" should appear in the table of results. "
"Carbohydrates","Total carbohydrates","Glucides totaux",,"Adultes","Adultes","18","999","18–99","y","≥ 18 ans","0","1","Femmes",,,,,"NA",,"NA",,,,"NA",,"45–60","E%","2009","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","10.2903/j.efsa.2010.1462","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA","The information ""ND"" should appear in the table of results. "
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","1","3","1–3","y","1-3 ans","1","0","Garçons",,,,,"10","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","1","3","1–3","y","1-3 ans","0","1","Filles",,,,,"10","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","4","6","4–6","y","4-6 ans","1","0","Garçons",,,,,"14","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","4","6","4–6","y","4-6 ans","0","1","Filles",,,,,"14","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","7","10","7–10","y","7-10 ans","1","0","Garçons",,,,,"16","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","7","10","7–10","y","7-10 ans","0","1","Filles",,,,,"16","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","11","14","11–14","y","11-14 ans","1","0","Garçons",,,,,"19","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","11","14","11–14","y","11-14 ans","0","1","Filles",,,,,"19","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","15","17","15–17","y","15-17 ans","1","0","Garçons",,,,,"21","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Enfants","Enfants","15","17","15–17","y","15-17 ans","0","1","Filles",,,,,"21","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Adultes","Adultes","18","999","18–99","y","≥ 18 ans","1","0","Hommes",,,,,"25","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Fibres alimentaires",,"Adultes","Adultes","18","999","18–99","y","≥ 18 ans","0","1","Femmes",,,,,"25","g/jour","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Fats","Total fat","Lipides totaux",,"Nourrissons","Nourrissons","7","11","7–11","mo","7-11 mois","1","1","Garçons/Filles",,,,,"40","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Lipides totaux",,"Enfants","Enfants","1","1","1","y","1 an","1","1","Garçons/Filles",,,,,"NA",,"NA",,,,"NA",,"35–40","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Lipides totaux",,"Enfants","Enfants","2","3","2–3","y","2-3 ans","1","1","Garçons/Filles",,,,,"NA",,"NA",,,,"NA",,"35–40","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Lipides totaux",,"Enfants","Enfants","4","17","4–17","y","4-17 ans","1","1","Garçons/Filles",,,,,"NA",,"NA",,,,"NA",,"20–35","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Lipides totaux",,"Adultes","Adultes","18","999","18–99","y","≥ 18 ans","1","1","Hommes/Femmes",,,,,"NA",,"NA",,,,"NA",,"20–35","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Lipides totaux",,"Femmes enceintes","Femmes enceintes","18","60","18-60","y","≥ 18 ans","0","1","Femmes",,,,,"NA",,"NA",,,,"NA",,"20–35","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Lipides totaux",,"Femmes allaitantes","Femmes allaitantes","18","60","18-60","y","≥ 18 ans","0","1","Femmes",,,,,"NA",,"NA",,,,"NA",,"20–35","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Acide alpha-linolénique (AAL)",,"Nourrissons","Nourrissons","7","11","7–11","mo","7-11 mois","1","1","Garçons/Filles",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Acide alpha-linolénique (AAL)",,"Enfants","Enfants","1","1","1","y","1 an","1","1","Garçons/Filles",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Acide alpha-linolénique (AAL)",,"Enfants","Enfants","2","3","2–3","y","2-3 ans","1","1","Garçons/Filles",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Acide alpha-linolénique (AAL)",,"Enfants","Enfants","4","17","4–17","y","4-17 ans","1","1","Garçons/Filles",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Acide alpha-linolénique (AAL)",,"Adultes","Adultes","18","999","18–99","y","≥ 18 ans","1","1","Hommes/Femmes",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Acide alpha-linolénique (AAL)",,"Femmes enceintes","Femmes enceintes","18","60","18-60","y","≥ 18 ans","0","1","Femmes",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Acide alpha-linolénique (AAL)",,"Femmes allaitantes","Femmes allaitantes","18","60","18-60","y","≥ 18 ans","0","1","Femmes",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Acide eicosapentaénoïque, acide docosahexaénoïque (AEP, ADH)",,"Nourrissons","Nourrissons","7","11","7–11","mo","7-11 mois","1","1","Garçons/Filles",,,,,"100","mg/jour ADH","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Acide eicosapentaénoïque, acide docosahexaénoïque (AEP, ADH)",,"Enfants","Enfants","1","1","1","y","1 an","1","1","Garçons/Filles",,,,,"100","mg/jour ADH","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Acide eicosapentaénoïque, acide docosahexaénoïque (AEP, ADH)",,"Enfants","Enfants","2","3","2–3","y","2-3 ans","1","1","Garçons/Filles",,,,,"250","mg/jour ADH +AEP","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Acide eicosapentaénoïque, acide docosahexaénoïque (AEP, ADH)",,"Enfants","Enfants","4","17","4–17","y","4-17 ans","1","1","Garçons/Filles",,,,,"250","mg/jour ADH +AEP","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Acide eicosapentaénoïque, acide docosahexaénoïque (AEP, ADH)",,"Adultes","Adultes","18","999","18–99","y","≥ 18 ans","1","1","Hommes/Femmes",,,,,"250","mg/jour ADH +AEP","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Acide eicosapentaénoïque, acide docosahexaénoïque (AEP, ADH)",,"Femmes enceintes","Femmes enceintes","18","60","18-60","y","≥ 18 ans","0","1","Femmes",,,,,"(+) 100–200","mg/jour ADH","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","Pour les femmes enceintes et allaitantes, la valeur fournie devrait être ajoutée au BNM des femmes non enceintes et non allaitantes.",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Acide eicosapentaénoïque, acide docosahexaénoïque (AEP, ADH)",,"Femmes allaitantes","Femmes allaitantes","18","60","18-60","y","≥ 18 ans","0","1","Femmes",,,,,"(+) 100–200","mg/jour ADH","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","Pour les femmes enceintes et allaitantes, la valeur fournie devrait être ajoutée au BNM des femmes non enceintes et non allaitantes.",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Linoleic acid (LA)","Acide linoléique (AL)",,"Nourrissons","Nourrissons","7","11","7–11","mo","7-11 mois","1","1","Garçons/Filles",,,,,"4","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Linoleic acid (LA)","Acide linoléique (AL)",,"Enfants","Enfants","1","1","1","y","1 an","1","1","Garçons/Filles",,,,,"4","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Linoleic acid (LA)","Acide linoléique (AL)",,"Enfants","Enfants","2","3","2–3","y","2-3 ans","1","1","Garçons/Filles",,,,,"4","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Linoleic acid (LA)","Acide linoléique (AL)",,"Enfants","Enfants","4","17","4–17","y","4-17 ans","1","1","Garçons/Filles",,,,,"4","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E% : pourcentage de l'apport énergétique",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
