Classification;Name;Translated;Forms;Target population;Target population Description;From Age;To Age;Age range;Age Unit;Age displayed;Male;Female;Sex;SSI;SSI Unit;Additional information related to SSI results;AIs;AIs Unit;ARs;ARs Unit;ARs alt;ARs alt Unit;PRIs;PRIs Unit;RI;RI Unit;YEAR;AUTHOR;Scientific Opinion on DRV;DOI;Scientific Opinion AR/PRI or AI or RI LINK;Additional information related to AR/PRI or AI or RI results;Additional information 2;Criteria used to set DRVs;UL;UL Unit;Scientific Opinion on the Tolerable Upper Intake Level ;Scientific Opinion UL LINK;Additional information related to UL results;Note for the webtool developer
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;16;16;16;a;16 години PAL=2.0;0;1;Жени;;;;NA;;11,8;MJ / ден;2834;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;17;17;17;a;17 години PAL=1.6;0;1;Жени;;;;NA;;9,5;MJ / ден;3149;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;17;17;17;a;17 години PAL=1.8;0;1;Жени;;;;NA;;10,7;MJ / ден;2017;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Деца и адолесценти;Деца и адолесценти;17;17;17;a;17 години PAL=2.0;0;1;Жени;;;;NA;;11,9;MJ / ден;2305;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;18;29;18–29;a;18–29 години PAL=1.4;1;0;Мажи;;;;NA;;9,8;MJ / ден;2593;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;18;29;18–29;a;18–29 години PAL=1.6;1;0;Мажи;;;;NA;;11,2;MJ / ден;2882;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;18;29;18–29;a;18–29 години PAL=1.8;1;0;Мажи;;;;NA;;12,6;MJ / ден;1984;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;18;29;18–29;a;18–29 години PAL=2.0;1;0;Мажи;;;;NA;;14;MJ / ден;2267;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;30;39;30–39;a;30–39 години PAL=1.4;1;0;Мажи;;;;NA;;9,5;MJ / ден;2550;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;30;39;30–39;a;30–39 години PAL=1.6;1;0;Мажи;;;;NA;;10,8;MJ / ден;2834;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;30;39;30–39;a;30–39 години PAL=1.8;1;0;Мажи;;;;NA;;12,2;MJ / ден;1878;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;30;39;30–39;a;30–39 години PAL=2.0;1;0;Мажи;;;;NA;;13,5;MJ / ден;2147;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;40;49;40–49;a;40–49 година PAL=1.4;1;0;Мажи;;;;NA;;9,3;MJ / ден;2415;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;40;49;40–49;a;40–49 година PAL=1.6;1;0;Мажи;;;;NA;;10,7;MJ / ден;2683;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;40;49;40–49;a;40–49 година PAL=1.8;1;0;Мажи;;;;NA;;12;MJ / ден;1813;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;40;49;40–49;a;40–49 години PAL=2.0;1;0;Мажи;;;;NA;;13,4;MJ / ден;2072;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;50;59;50–59;a;50–59 години PAL=1.4;1;0;Мажи;;;;NA;;9,2;MJ / ден;2331;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;50;59;50–59;a;50–59 години PAL=1.6;1;0;Мажи;;;;NA;;10,5;MJ / ден;2590;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;50;59;50–59;a;50–59 години PAL=1.8;1;0;Мажи;;;;NA;;11,9;MJ / ден;1798;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;50;59;50–59;a;50–59 години PAL=2.0;1;0;Мажи;;;;NA;;13,2;MJ / ден;2055;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;60;69;60–69;a;60–69 години PAL=1.4;1;0;Мажи;;;;NA;;8,4;MJ / ден;2312;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;60;69;60–69;a;60–69 години PAL=1.6;1;0;Мажи;;;;NA;;9,6;MJ / ден;2569;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;60;69;60–69;a;60–69 години PAL=1.8;1;0;Мажи;;;;NA;;10,9;MJ / ден;1783;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;60;69;60–69;a;60–69 години PAL=2.0;1;0;Мажи;;;;NA;;12,1;MJ / ден;2037;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;70;79;70–79;a;70–79 години PAL=1.4;1;0;Мажи;;;;NA;;8,3;MJ / ден;2292;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;70;79;70–79;a;70–79 години PAL=1.6;1;0;Мажи;;;;NA;;9,5;MJ / ден;2547;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;70;79;70–79;a;70–79 години PAL=1.8;1;0;Мажи;;;;NA;;10,7;MJ / ден;1628;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;70;79;70–79;a;70–79 години PAL=2.0;1;0;Мажи;;;;NA;;11,9;MJ / ден;1861;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;18;29;18–29;a;18–29 години PAL=1.4;0;1;Жени;;;;NA;;7,9;MJ / ден;2093;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;18;29;18–29;a;18–29 години PAL=1.6;0;1;Жени;;;;NA;;9;MJ / ден;2326;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;18;29;18–29;a;18–29 години PAL=1.8;0;1;Жени;;;;NA;;10,1;MJ / ден;1614;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;18;29;18–29;a;18–29 години PAL=2.0;0;1;Жени;;;;NA;;11,2;MJ / ден;1844;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;30;39;30–39;a;30–39 години PAL=1.4;0;1;Жени;;;;NA;;7,6;MJ / ден;2075;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;30;39;30–39;a;30–39 години PAL=1.6;0;1;Жени;;;;NA;;8,7;MJ / ден;2305;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;30;39;30–39;a;30–39 години PAL=1.8;0;1;Жени;;;;NA;;9,8;MJ / ден;ND;;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;30;39;30–39;a;30–39 години PAL=2.0;0;1;Жени;;;;NA;;10,8;MJ / ден;(+) 70;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;40;49;40–49;a;40–49 години PAL=1.4;0;1;Жени;;;;NA;;7,5;MJ / ден;(+) 260;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;40;49;40–49;a;40–49 години PAL=1.6;0;1;Жени;;;;NA;;8,6;MJ / ден;(+) 500;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
Energy;Energy;Енергија;;Возрасни;Возрасни;40;49;40–49;a;40–49 години PAL=1.8;0;1;Жени;;;;NA;;9,7;MJ / ден;(+) 500;kcal / ден;NA;;NA;;;;Scientific Opinion on Dietary Reference Values for energy;;https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005;"За деца и возрасни лица, АRs за енергија се обезбедени за различни нивоа на физичка активност (PAL). PAL вредностите од 1.4, 1.6, 1.8 и 2.0 одразуваат ниско активен (седентарен), умерено активен, активен и многу активен начин на живот. АRs за енергија се изразува во единици на енергија. 1 МЈ = 238,83 kcal
Gli AR per l'energia sono espressi in unità di energia. 1 MJ = 238,83 kcal";;;NA;;;;NA;
