"Classification","Name","Translated","Forms","Target population","Target population Description","From Age","To Age","Age range","Age Unit","Age displayed","Male","Female","Lytis","SSI","SSI Unit","Additional information related to SSI results","Scientific Opinion SSI LINK","AIs","AIs Unit","ARs","ARs Unit","ARs alt","ARs alt Unit","PRIs","PRIs Unit","RI","RI Unit","YEAR","AUTHOR","Scientific Opinion on DRV","DOI","Scientific Opinion AR/PRI or AI or RI LINK","Additional information related to AR/PRI or AI or RI results","Additional information 2","Criteria used to set DRVs","UL","UL Unit","Scientific Opinion on the Tolerable Upper Intake Level ","Scientific Opinion UL LINK","Additional information related to UL results","Note for the webtool developer"
"Energy","Energy","Energija",,"Nėščios moterys","Nėščios moterys (3-iasis trimestras)","18","60","18-60","y","≥ 18 metų","0","1","Moterys",,,,,"NA",,"(+) 2,1","MJ/day","(+) 500","kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Besilaukiančių ir žindančių moterų atveju, vertė turi būti pridedama prie vidutinio poreikio vertės nesilaukiančioms ir nežindančioms moterims",,,"NA",,,,"NA",
"Energy","Energy","Energija",,"Žindančios moterys","Žindančios moterys","18","60","18-60","y","≥ 18 metų","0","1","Moterys",,,,,"NA",,"(+) 2,1","MJ/day","(+) 500","kcal/day","NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for energy",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2013.3005","Besilaukiančių ir žindančių moterų atveju, vertė turi būti pridedama prie vidutinio poreikio vertės nesilaukiančioms ir nežindančioms moterims",,,"NA",,,,"NA",
"Carbohydrates","Total carbohydrates","Bendras angliavandenių kiekis",,"Kūdikiai","Kūdikiai","7","11","7-11","mo","7-11 mėnesių","1","1","Vyrai/Moterys",,,,,"NA",,"NA",,,,"NA",,"NA",,"2009","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","10.2903/j.efsa.2010.1462","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"ND",,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA","The information ""ND"" should appear in the table of results. "
"Carbohydrates","Total carbohydrates","Bendras angliavandenių kiekis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","1","17","1–17","y","1-17 metų","1","0","Vyrai",,,,,"NA",,"NA",,,,"NA",,"45–60","E%","2009","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","10.2903/j.efsa.2010.1462","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA","The information ""ND"" should appear in the table of results. "
"Carbohydrates","Total carbohydrates","Bendras angliavandenių kiekis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","1","17","1–17","y","1-17 metų","0","1","Moterys",,,,,"NA",,"NA",,,,"NA",,"45–60","E%","2009","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","10.2903/j.efsa.2010.1462","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA","The information ""ND"" should appear in the table of results. "
"Carbohydrates","Total carbohydrates","Bendras angliavandenių kiekis",,"Suaugę","Suaugę","18","999","18–99","y","≥ 18 metų","1","0","Vyrai",,,,,"NA",,"NA",,,,"NA",,"45–60","E%","2009","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","10.2903/j.efsa.2010.1462","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA","The information ""ND"" should appear in the table of results. "
"Carbohydrates","Total carbohydrates","Bendras angliavandenių kiekis",,"Suaugę","Suaugę","18","999","18–99","y","≥ 18 metų","0","1","Moterys",,,,,"NA",,"NA",,,,"NA",,"45–60","E%","2009","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","10.2903/j.efsa.2010.1462","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA","The information ""ND"" should appear in the table of results. "
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","1","3","1–3","y","1-3 metai","1","0","Vyrai",,,,,"10","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","1","3","1–3","y","1-3 metai","0","1","Moterys",,,,,"10","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","4","6","4–6","y","4-6 metai","1","0","Vyrai",,,,,"14","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","4","6","4–6","y","4-6 metai","0","1","Moterys",,,,,"14","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","7","10","7–10","y","7-10 metų","1","0","Vyrai",,,,,"16","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","7","10","7–10","y","7-10 metų","0","1","Moterys",,,,,"16","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","11","14","11–14","y","11-14 metų","1","0","Vyrai",,,,,"19","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","11","14","11–14","y","11-14 metų","0","1","Moterys",,,,,"19","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","15","17","15–17","y","15-17 metų","1","0","Vyrai",,,,,"21","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Vaikai ir paaugliai","Vaikai ir paaugliai","15","17","15–17","y","15-17 metų","0","1","Moterys",,,,,"21","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Suaugę","Suaugę","18","999","18–99","y","≥ 18 metų","1","0","Vyrai",,,,,"25","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Carbohydrates","Dietary Fibre","Maistinės skaidulos",,"Suaugę","Suaugę","18","999","18–99","y","≥ 18 metų","0","1","Moterys",,,,,"25","g/day","NA",,,,"NA",,"NA",,,,"Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre",,"https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1462","NA",,,"NA",,,,"NA",
"Fats","Total fat","Bendras riebalų kiekis",,"Kūdikiai","Kūdikiai","7","11","7–11","mo","7-11 mėnesių","1","1","Vyrai/Moterys",,,,,"40","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Bendras riebalų kiekis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","1","1","1","y","1 year","1","1","Vyrai/Moterys",,,,,"NA",,"NA",,,,"NA",,"35–40","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Bendras riebalų kiekis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","2","3","2–3","y","2-3 metai","1","1","Vyrai/Moterys",,,,,"NA",,"NA",,,,"NA",,"35–40","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Bendras riebalų kiekis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","4","17","4–17","y","4-17 metų","1","1","Vyrai/Moterys",,,,,"NA",,"NA",,,,"NA",,"20–35","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Bendras riebalų kiekis",,"Suaugę","Suaugę","18","999","18–99","y","≥ 18 metų","1","1","Vyrai/Moterys",,,,,"NA",,"NA",,,,"NA",,"20–35","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Bendras riebalų kiekis",,"Nėščios moterys","Nėščios moterys","18","60","18-60","y","≥ 18 metų","0","1","Moterys",,,,,"NA",,"NA",,,,"NA",,"20–35","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Total fat","Bendras riebalų kiekis",,"Žindančios moterys","Žindančios moterys","18","60","18-60","y","≥ 18 metų","0","1","Moterys",,,,,"NA",,"NA",,,,"NA",,"20–35","E%","2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Alfa-linoleno rūgštis",,"Kūdikiai","Kūdikiai","7","11","7–11","mo","7-11 mėnesių","1","1","Vyrai/Moterys",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Alfa-linoleno rūgštis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","1","1","1","y","1 year","1","1","Vyrai/Moterys",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Alfa-linoleno rūgštis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","2","3","2–3","y","2-3 metai","1","1","Vyrai/Moterys",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Alfa-linoleno rūgštis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","4","17","4–17","y","4-17 metų","1","1","Vyrai/Moterys",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Alfa-linoleno rūgštis",,"Suaugę","Suaugę","18","999","18–99","y","≥ 18 metų","1","1","Vyrai/Moterys",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Alfa-linoleno rūgštis",,"Nėščios moterys","Nėščios moterys","18","60","18-60","y","≥ 18 metų","0","1","Moterys",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Alpha-linolenic acid (ALA)","Alfa-linoleno rūgštis",,"Žindančios moterys","Žindančios moterys","18","60","18-60","y","≥ 18 metų","0","1","Moterys",,,,,"0,5","E%","NA",,,,"NA",,"NA",,"2010","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2010.1461","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","E%: su maistu gaunamos energijos procentas",,,"ND",,"Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Eikozapentaeno rūgštis, dokozaheksaeno rūgštis",,"Kūdikiai","Kūdikiai","7","11","7–11","mo","7-11 mėnesių","1","1","Vyrai/Moterys",,,,,"100","mg/day DHA","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Eikozapentaeno rūgštis, dokozaheksaeno rūgštis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","1","1","1","y","1 year","1","1","Vyrai/Moterys",,,,,"100","mg/day DHA","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Eikozapentaeno rūgštis, dokozaheksaeno rūgštis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","2","3","2–3","y","2-3 metai","1","1","Vyrai/Moterys",,,,,"250","mg/day DHA +EPA","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Eikozapentaeno rūgštis, dokozaheksaeno rūgštis",,"Vaikai ir paaugliai","Vaikai ir paaugliai","4","17","4–17","y","4-17 metų","1","1","Vyrai/Moterys",,,,,"250","mg/day DHA +EPA","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Eikozapentaeno rūgštis, dokozaheksaeno rūgštis",,"Suaugę","Suaugę","18","999","18–99","y","≥ 18 metų","1","1","Vyrai/Moterys",,,,,"250","mg/day DHA +EPA","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","NA",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
"Fats","Eicosapentaenoic acid, Docosahexaenoic acid (EPA, DHA)","Eikozapentaeno rūgštis, dokozaheksaeno rūgštis",,"Nėščios moterys","Nėščios moterys","18","60","18-60","y","≥ 18 metų","0","1","Moterys",,,,,"(+) 100–200","mg/day DHA","NA",,,,"NA",,"NA",,"2012","EFSA Panel on Dietetic Products, Nutrition, and Allergies (NDA)","Scientific Opinion on Dietary Reference Values for fats, including saturated fatty acids, polyunsaturated fatty acids, monounsaturated fatty acids, trans fatty acids, and cholesterol","10.2903/j.efsa.2012.2815","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1461","Besilaukiančių ir žindančių moterų atveju, vertė turėtų būti pridedama prie suvartojimo normos vertės nesilaukiančioms ir nežindančioms moterims",,,"ND",,"Scientific Opinion on the Tolerable Upper Intake Level of eicosapentaenoic","https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2815","NA","The information ""ND"" should appear in the table of results. "
